Dome C,Carbon Dioxide,2001,368.02
Dome C,Carbon Dioxide,1998,361.78
Dome C,Carbon Dioxide,1996,359.65
Dome C,Carbon Dioxide,1994,357.11
Dome C,Carbon Dioxide,1993,353.95
Dome C,Carbon Dioxide,1992,353.72
Dome C,Carbon Dioxide,1991,352.42
Dome C,Carbon Dioxide,1989,350.81
Dome C,Carbon Dioxide,1989,349.80
Dome C,Carbon Dioxide,1988,349.28
Dome C,Carbon Dioxide,1988,347.60
Dome C,Carbon Dioxide,1987,345.44
Dome C,Carbon Dioxide,1986,344.72
Dome C,Carbon Dioxide,1986,343.97
Dome C,Carbon Dioxide,1985,343.11
Dome C,Carbon Dioxide,1984,342.05
Dome C,Carbon Dioxide,1983,341.33
Dome C,Carbon Dioxide,1983,339.46
Dome C,Carbon Dioxide,1979,334.85
Dome C,Carbon Dioxide,1976,335.55
Dome C,Carbon Dioxide,1976,332.37
Dome C,Carbon Dioxide,1975,332.37
Dome C,Carbon Dioxide,1974,331.55
Dome C,Carbon Dioxide,1972,328.42
Dome C,Carbon Dioxide,1972,330.35
Dome C,Carbon Dioxide,1970,326.31
Dome C,Carbon Dioxide,1970,326.65
Dome C,Carbon Dioxide,1970,324.91
Dome C,Carbon Dioxide,1970,324.56
Dome C,Carbon Dioxide,1969,324.71
Dome C,Carbon Dioxide,1968,325.08
Dome C,Carbon Dioxide,1968,324.09
Dome C,Carbon Dioxide,1968,320.38
Dome C,Carbon Dioxide,1966,320.49
Dome C,Carbon Dioxide,1966,322.17
Dome C,Carbon Dioxide,1965,320.98
Dome C,Carbon Dioxide,1965,319.20
Dome C,Carbon Dioxide,1965,319.89
Dome C,Carbon Dioxide,1963,319.12
Dome C,Carbon Dioxide,1963,319.07
Dome C,Carbon Dioxide,1962,318.61
Dome C,Carbon Dioxide,1962,317.45
Dome C,Carbon Dioxide,1962,319.14
Dome C,Carbon Dioxide,1962,317.52
Dome C,Carbon Dioxide,1961,316.59
Dome C,Carbon Dioxide,1960,318.21
Dome C,Carbon Dioxide,1960,313.09
Dome C,Carbon Dioxide,1959,311.98
Dome C,Carbon Dioxide,1958,316.33
Dome C,Carbon Dioxide,1958,316.10
Dome C,Carbon Dioxide,1957,314.57
Dome C,Carbon Dioxide,1957,315.27
Dome C,Carbon Dioxide,1957,316.33
Dome C,Carbon Dioxide,1957,314.44
Dome C,Carbon Dioxide,1956,315.34
Dome C,Carbon Dioxide,1954,314.71
Dome C,Carbon Dioxide,1953,313.17
Dome C,Carbon Dioxide,1953,312.80
Dome C,Carbon Dioxide,1953,312.22
Dome C,Carbon Dioxide,1952,312.18
Dome C,Carbon Dioxide,1950,312.00
Dome C,Carbon Dioxide,1949,313.66
Dome C,Carbon Dioxide,1948,309.69
Dome C,Carbon Dioxide,1947,311.57
Dome C,Carbon Dioxide,1946,310.36
Dome C,Carbon Dioxide,1946,312.87
Dome C,Carbon Dioxide,1945,312.56
Dome C,Carbon Dioxide,1945,311.97
Dome C,Carbon Dioxide,1945,311.81
Dome C,Carbon Dioxide,1944,310.44
Dome C,Carbon Dioxide,1944,311.28
Dome C,Carbon Dioxide,1944,310.22
Dome C,Carbon Dioxide,1943,312.36
Dome C,Carbon Dioxide,1942,311.88
Dome C,Carbon Dioxide,1942,312.84
Dome C,Carbon Dioxide,1941,312.39
Dome C,Carbon Dioxide,1940,311.80
Dome C,Carbon Dioxide,1940,307.74
Dome C,Carbon Dioxide,1939,309.80
Dome C,Carbon Dioxide,1939,310.95
Dome C,Carbon Dioxide,1939,311.21
Dome C,Carbon Dioxide,1938,310.46
Dome C,Carbon Dioxide,1938,308.48
Dome C,Carbon Dioxide,1938,311.94
Dome C,Carbon Dioxide,1937,311.52
Dome C,Carbon Dioxide,1937,312.33
Dome C,Carbon Dioxide,1936,307.41
Dome C,Carbon Dioxide,1935,309.34
Dome C,Carbon Dioxide,1935,307.26
Dome C,Carbon Dioxide,1935,306.32
Dome C,Carbon Dioxide,1933,309.63
Dome C,Carbon Dioxide,1933,307.08
Dome C,Carbon Dioxide,1932,305.94
Dome C,Carbon Dioxide,1932,308.28
Dome C,Carbon Dioxide,1932,308.26
Dome C,Carbon Dioxide,1930,305.74
Dome C,Carbon Dioxide,1929,305.38
Dome C,Carbon Dioxide,1928,305.78
Dome C,Carbon Dioxide,1928,305.71
Dome C,Carbon Dioxide,1928,305.67
Dome C,Carbon Dioxide,1927,308.02
Dome C,Carbon Dioxide,1925,304.97
Dome C,Carbon Dioxide,1924,304.72
Dome C,Carbon Dioxide,1922,306.20
Dome C,Carbon Dioxide,1922,303.18
Dome C,Carbon Dioxide,1919,301.88
Dome C,Carbon Dioxide,1918,304.61
Dome C,Carbon Dioxide,1917,303.85
Dome C,Carbon Dioxide,1915,301.92
Dome C,Carbon Dioxide,1914,300.70
Dome C,Carbon Dioxide,1912,301.30
Dome C,Carbon Dioxide,1911,299.26
Dome C,Carbon Dioxide,1911,297.73
